Time, CA-V, CB-V 
4.324, 4.986, 0.001  
4.368, 4.986, 0.001  
4.373, 4.986, 0.001  
4.378, 4.986, 0.001  
4.412, 4.986, 0.001  
4.416, 4.986, 0.001  
4.465, 4.986, 0.001  
4.469, 4.986, 0.001  
4.477, 4.986, 0.001  
4.518, 4.986, 0.001  
4.522, 4.986, 0.001  
4.528, 4.986, 0.001  
4.581, 4.986, 0.001  
4.585, 4.986, 0.001  
4.635, 4.986, 0.001  
4.644, 4.986, 0.001  
4.651, 4.986, 0.001  
4.665, 4.986, 0.001  
4.669, 4.986, 0.001  
4.720, 4.986, 0.001  
4.726, 4.986, 0.001  
4.730, 4.986, 0.001  
4.771, 4.986, 0.001  
4.776, 4.986, 0.001  
4.823, 4.986, 0.001  
4.828, 4.986, 0.001  
4.835, 4.986, 0.001  
4.872, 4.986, 0.001  
4.878, 4.986, 0.001  
4.921, 4.986, 0.001  
4.927, 4.986, 0.001  
4.931, 4.986, 0.001  
4.984, 4.986, 0.001  
4.989, 4.986, 0.001  
4.995, 4.986, 0.001  
5.027, 4.986, 0.001  
5.031, 4.986, 0.001  
5.080, 4.986, 0.001  
5.084, 4.986, 0.001  
5.092, 4.986, 0.001  
5.129, 4.986, 0.001  
5.135, 4.986, 0.001  
5.187, 4.986, 0.001  
5.192, 4.986, 0.001  
5.197, 4.986, 0.001  
5.233, 4.986, 0.001  
5.237, 4.986, 0.001  
5.282, 4.986, 0.001  
5.286, 4.986, 0.001  
5.291, 4.986, 0.001  
5.336, 4.986, 0.001  
5.340, 4.986, 0.001  
5.347, 4.986, 0.001  
5.384, 4.986, 0.001  
5.388, 4.986, 0.001  
5.435, 4.986, 0.001  
5.442, 4.986, 0.001  
5.447, 4.986, 0.001  
5.491, 4.986, 0.001  
5.495, 4.986, 0.001  
5.539, 4.986, 0.001  
5.543, 4.986, 0.001  
5.547, 4.986, 0.001  
5.589, 4.986, 0.001  
5.594, 4.986, 0.001  
5.651, 4.986, 0.001  
5.657, 4.986, 0.001  
5.663, 4.986, 0.001  
5.693, 4.986, 0.001  
5.699, 4.986, 0.001  
5.743, 4.986, 0.001  
5.749, 4.986, 0.001  
5.753, 4.986, 0.001  
5.796, 4.986, 0.001  
5.800, 4.986, 0.001  
5.804, 4.986, 0.001  
5.846, 4.986, 0.001  
5.850, 4.986, 0.001  
5.897, 4.986, 0.001  
5.901, 4.986, 0.001  
5.907, 4.986, 0.001  
5.949, 4.986, 0.001  
5.955, 4.986, 0.001  
6.004, 4.986, 0.001  
6.009, 4.986, 0.001  
6.014, 4.986, 0.001  
6.051, 4.986, 0.001  
6.055, 4.986, 0.001  
6.101, 4.986, 0.001  
6.105, 4.986, 0.001  
6.111, 4.986, 0.001  
6.151, 4.986, 0.001  
6.157, 4.986, 0.001  
6.202, 4.986, 0.001  
6.211, 4.986, 0.001  
6.214, 4.986, 0.001  
6.255, 4.986, 0.001  
6.260, 4.986, 0.001  
6.264, 4.986, 0.001  
6.314, 4.986, 0.001  
6.320, 4.986, 0.001  
6.360, 4.986, 0.001  
6.365, 4.986, 0.001  
6.371, 4.986, 0.001  
6.408, 4.986, 0.001  
6.413, 4.986, 0.001  
6.460, 4.986, 0.001  
6.464, 4.986, 0.001  
6.468, 4.986, 0.001  
6.514, 4.986, 0.001  
6.519, 4.986, 0.001  
6.564, 4.986, 0.001  
6.568, 4.986, 0.001  
6.572, 4.986, 0.001  
6.614, 4.986, 0.001  
6.618, 4.986, 0.001  
6.623, 4.986, 0.001  
6.664, 4.986, 0.001  
6.669, 4.986, 0.001  
6.716, 4.986, 0.001  
6.723, 4.986, 0.001  
6.728, 4.986, 0.001  
6.770, 4.986, 0.001  
6.776, 4.986, 0.001  
6.818, 4.986, 0.001  
6.822, 4.986, 0.001  
6.828, 4.986, 0.001  
6.871, 4.986, 0.001  
6.879, 4.986, 0.001  
6.918, 4.986, 0.001  
6.923, 4.986, 0.001  
6.928, 4.986, 0.001  
6.982, 4.986, 0.001  
6.987, 4.986, 0.001  
7.029, 4.986, 0.001  
7.035, 4.986, 0.001  
7.040, 4.986, 0.001  
7.077, 4.986, 0.001  
7.082, 4.986, 0.001  
7.088, 4.986, 0.001  
7.127, 4.986, 0.001  
7.132, 4.986, 0.001  
7.177, 4.986, 0.001  
7.183, 4.986, 0.001  
7.188, 4.986, 0.001  
7.229, 4.986, 0.001  
7.235, 4.986, 0.001  
7.281, 4.986, 0.001  
7.286, 4.986, 0.001  
7.290, 4.986, 0.001  
7.335, 4.986, 0.001  
7.339, 4.986, 0.001  
7.381, 4.986, 0.001  
7.386, 4.986, 0.001  
7.392, 4.986, 0.001  
7.433, 4.986, 0.001  
7.438, 4.986, 0.001  
7.483, 4.986, 0.001  
7.489, 4.986, 0.001  
7.493, 4.986, 0.001  
7.534, 4.986, 0.001  
7.539, 4.986, 0.001  
7.544, 4.986, 0.001  
7.586, 4.986, 0.001  
7.590, 4.986, 0.001  
7.638, 4.986, 0.001  
7.644, 4.986, 0.001  
7.650, 4.986, 0.001  
7.692, 4.986, 0.001  
7.698, 4.986, 0.001  
7.739, 4.986, 0.001  
7.744, 4.986, 0.001  
7.749, 4.986, 0.001  
7.789, 4.986, 0.001  
7.797, 4.986, 0.001  
7.843, 4.986, 0.001  
7.848, 4.986, 0.001  
7.852, 4.986, 0.001  
7.893, 4.986, 0.001  
7.898, 4.986, 0.001  
7.902, 4.986, 0.001  
7.968, 4.986, 0.001  
7.973, 4.986, 0.001  
7.997, 4.986, 0.001  
8.002, 4.986, 0.001  
8.007, 4.986, 0.001  
8.045, 4.986, 0.001  
8.052, 4.986, 0.001  
8.098, 4.986, 0.001  
8.102, 4.986, 0.001  
8.106, 4.986, 0.001  
8.151, 4.986, 0.001  
8.157, 4.986, 0.001  
8.200, 4.986, 0.001  
8.205, 4.986, 0.001  
8.212, 4.986, 0.001  
8.253, 4.986, 0.001  
8.259, 4.986, 0.001  
8.306, 4.986, 0.001  
8.312, 4.986, 0.001  
8.316, 4.986, 0.001  
8.355, 4.986, 0.001  
8.362, 4.986, 0.001  
8.367, 4.986, 0.001  
8.404, 4.986, 0.001  
8.409, 4.986, 0.001  
8.456, 4.986, 0.001  
8.461, 4.986, 0.001  
8.466, 4.986, 0.001  
8.506, 4.986, 0.001  
8.513, 4.986, 0.001  
8.559, 4.986, 0.001  
8.565, 4.986, 0.001  
8.569, 4.986, 0.001  
8.622, 4.986, 0.001  
8.632, 4.986, 0.001  
8.664, 4.986, 0.001  
8.669, 4.986, 0.001  
8.676, 4.986, 0.001  
8.712, 4.986, 0.001  
8.716, 4.986, 0.001  
8.763, 4.986, 0.001  
8.769, 4.986, 0.001  
8.773, 4.986, 0.001  
8.814, 4.986, 0.001  
8.821, 4.986, 0.001  
8.826, 4.986, 0.001  
8.866, 4.986, 0.001  
8.870, 4.986, 0.001  
8.915, 4.986, 0.001  
8.920, 4.986, 0.001  
8.924, 4.986, 0.001  
8.971, 4.986, 0.001  
8.979, 4.986, 0.001  
9.020, 4.986, 0.001  
9.026, 4.986, 0.001  
9.030, 4.986, 0.001  
9.073, 4.986, 0.001  
9.077, 4.986, 0.001  
9.122, 4.986, 0.001  
9.128, 4.986, 0.001  
9.132, 4.986, 0.001  
9.171, 4.986, 0.001  
9.177, 4.986, 0.001  
9.182, 4.986, 0.001  
9.225, 4.986, 0.001  
9.229, 4.986, 0.001  
9.284, 4.986, 0.001  
9.296, 4.986, 0.001  
9.303, 4.986, 0.001  
9.325, 4.983, 0.001  
9.333, 4.963, 0.001  
9.381, 4.940, 0.001  
9.386, 4.917, 0.001  
9.391, 4.895, 0.001  
9.430, 4.873, 0.001  
9.435, 4.851, 0.001  
9.495, 4.829, 0.001  
9.499, 4.808, 0.001  
9.505, 4.786, 0.001  
9.530, 4.765, 0.001  
9.536, 4.745, 0.001  
9.584, 4.724, 0.001  
9.588, 4.704, 0.001  
9.593, 4.683, 0.001  
9.635, 4.663, 0.001  
9.640, 4.643, 0.001  
9.646, 4.623, 0.001  
9.686, 4.603, 0.001  
9.695, 4.584, 0.001  
9.741, 4.564, 0.001  
9.747, 4.545, 0.001  
9.753, 4.526, 0.001  
9.788, 4.507, 0.001  
9.794, 4.488, 0.001  
9.840, 4.469, 0.001  
9.846, 4.451, 0.001  
9.850, 4.432, 0.001  
9.893, 4.414, 0.001  
9.897, 4.396, 0.001  
9.950, 4.377, 0.001  
9.960, 4.359, 0.001  
9.967, 4.342, 0.001  
9.991, 4.324, 0.001  
9.996, 4.306, 0.001  
10.042, 4.289, 0.001  
10.048, 4.271, 0.001  
